stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.02628,16.62,16.62,16.64,16.6,236000,3922140.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02318,92.5,92.5,92.5,92.5,1500,138750.0,92.0,0.005434782608695652,HK.59051,9.57,9570000,BULL,false,0.145,HK.68594
HK.00939,5.92,5.93,5.93,5.92,932000,5521760.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.0,250.0,249.2,184300,45990220.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.2,249.2,199400,49765380.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.94,5.94,5.92,933000,5527700.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.0,250.2,249.2,201200,50215720.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,205600,51315720.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02318,92.5,92.45,92.5,92.45,25000,2311325.0,92.0,0.004891304347826118,HK.59051,9.57,9570000,BULL,true,0.145,HK.68594
HK.00939,5.92,5.93,5.94,5.92,1033000,6120700.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.09988,249.4,250.0,250.2,249.2,206600,51565720.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.2,249.2,206700,51590740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,207200,51715740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.64,16.64,16.6,246000,4088540.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.09988,249.4,250.0,250.2,249.2,207400,51765740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,210800,52615740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,211800,52865740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,218100,54440740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.64,16.64,16.6,247000,4105180.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.09988,249.4,250.0,250.2,249.2,218300,54490740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,218400,54515740.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.62,16.64,16.6,248000,4121800.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.92,5.94,5.94,5.92,1038000,6150400.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.09988,249.4,249.8,250.2,249.2,218700,54590680.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.62,16.64,16.6,249000,4138420.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.92,5.93,5.94,5.92,1086000,6435040.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.0,250.2,249.2,219000,54665680.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,249.8,250.2,249.2,219700,54840640.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,220100,54940640.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,220500,55040640.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1087000,6440970.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,249.8,250.2,249.2,221000,55165540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1155000,6844210.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.62,16.62,16.64,16.6,259000,4304620.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.62,16.64,16.64,16.6,262000,4354540.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.09988,249.4,250.0,250.2,249.2,224000,55915540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,225000,56165540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,225700,56340540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,225900,56390540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1213000,7188150.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.0,250.2,249.2,226000,56415540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,249.8,250.2,249.2,226100,56440520.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.94,5.94,5.92,1228000,7277250.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.92,5.93,5.94,5.92,1230000,7289110.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.92,5.93,5.94,5.92,1293000,7662700.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.0,250.2,249.2,226200,56465520.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,274000,68415520.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,274600,68565520.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.2,249.2,275300,68740660.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.0,250.2,249.2,275500,68790660.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.2,249.2,277600,69316080.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1296000,7680490.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.09988,249.4,250.2,250.2,249.2,278100,69441180.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.94,5.94,5.92,1301000,7710190.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.2,250.2,249.2,278200,69466200.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.2,249.2,278400,69516240.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,278500,69541280.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,279600,69816520.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1312000,7775420.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.4,250.4,249.2,279800,69866600.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,282500,70542140.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1322000,7834720.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.2,250.4,249.2,283000,70667240.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.94,5.94,5.92,1325000,7852540.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.2,250.4,249.2,283100,70692260.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,283300,70742300.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,283400,70767320.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,284200,70967480.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,284500,71042540.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.62,16.64,16.6,263000,4371160.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.62,16.62,16.64,16.6,265000,4404400.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.09988,249.4,250.2,250.4,249.2,284600,71067560.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.2,250.4,249.2,285100,71192660.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,285800,71367900.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.00939,5.92,5.93,5.94,5.92,1333000,7899980.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.62,16.64,16.64,16.6,277000,4604080.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.62,16.64,16.64,16.6,282000,4687280.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.92,5.93,5.94,5.92,1344000,7965210.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,249.4,250.2,250.4,249.2,286500,71543040.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,304700,76100320.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,305100,76200480.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.64,16.64,16.6,283000,4703920.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.09988,249.4,250.4,250.4,249.2,307200,76726320.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.09988,249.4,250.4,250.4,249.2,309600,77327280.0,246.88,0.009397278029812026,HK.65210,44.17,26502000,BULL,false,0.041,HK.50484
HK.02628,16.62,16.64,16.64,16.6,321000,5336240.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.62,16.64,16.64,16.6,341000,5669040.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.62,16.64,16.64,16.6,343000,5702320.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.92,5.93,5.94,5.92,1349000,7994860.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.64,16.64,16.64,16.64,0,0.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.93,5.93,5.93,0,0.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,6000,35580.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,16000,94880.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,17000,100810.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,21000,124530.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,31000,183830.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,33000,195690.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.93,5.93,48000,284640.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.00939,5.93,5.93,5.93,5.93,132000,782760.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.64,16.64,16.64,16.64,5000,83200.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.93,5.93,5.93,140000,830200.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.62,16.64,16.62,11000,182920.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.93,5.93,5.93,150000,889500.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,13000,216200.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.94,5.94,5.93,160000,948900.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,15000,249480.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.94,5.94,5.93,180000,1067700.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.94,5.94,5.93,190000,1127100.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.94,5.94,5.93,192000,1138980.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.94,5.94,5.93,204000,1210260.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.64,16.62,16.64,16.62,17000,282720.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,18000,299360.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.94,5.94,5.93,216000,1281540.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.94,5.94,5.93,225000,1335000.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.00939,5.93,5.93,5.94,5.93,229000,1358720.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.64,16.64,16.64,16.64,0,0.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.93,5.93,5.93,5.93,0,0.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.64,16.64,16.64,16.64,5000,83200.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.64,6000,99840.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.64,11000,183040.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.64,13000,216320.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.64,14000,232960.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.64,15000,249600.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.62,16.64,16.62,25000,415800.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,27000,449080.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.62,16.64,16.62,28000,465700.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,29000,482340.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.62,16.64,16.62,31000,515580.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,36000,598780.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.93,310000,1839070.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,39000,648700.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.93,323000,1916160.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,41000,681980.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.93,324000,1922090.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.00939,5.94,5.93,5.94,5.93,336000,1993250.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,46000,765180.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.93,338000,2005110.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,50000,831740.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,52000,865020.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.93,351000,2082200.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.62,16.64,16.62,54000,898260.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.92,5.94,5.92,401000,2378200.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,59000,981460.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.02628,16.64,16.64,16.64,16.62,64000,1064660.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.93,5.94,5.92,421000,2496800.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.62,160000,2662100.0,16.5,0.0072727272727273334,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
HK.00939,5.94,5.92,5.94,5.92,449000,2662560.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.00939,5.94,5.93,5.94,5.92,468000,2775230.0,5.88,0.00680272108843538,HK.51129,10.48,8384000,BULL,false,0.063,HK.69657
HK.02628,16.64,16.64,16.64,16.64,0,0.0,16.5,0.008484848484848519,HK.65718,37.409,29927999,BULL,false,0.23,HK.28843
