stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.02318,91.05,91.1,91.1,91.05,56000,5098950.0,90.28,0.008529020824102748,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
HK.00939,5.91,5.91,5.92,5.91,943000,5573240.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.066,HK.69657
HK.01918,29.1,29.1,29.1,29.1,6000,174600.0,29.0,0.0034482758620690145,HK.69416,12.08,7248000,BULL,true,0.104,HK.61273
HK.01299,93.5,93.5,93.5,93.5,6600,617100.0,93.0,0.005376344086021506,HK.61703,9.53,5718000,BULL,false,0.224,HK.67968
HK.09988,243.0,242.8,243.4,242.6,384900,93526320.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09618,343.6,343.6,343.8,343.4,7350,2525430.0,342.8,0.0017502917152857815,HK.50986,11.19,5595000,BULL,true,0.112,HK.56054
HK.09988,243.0,242.6,243.4,242.6,385100,93574840.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.01299,93.5,93.5,93.5,93.5,6800,635800.0,93.0,0.005376344086021506,HK.61703,9.53,5718000,BULL,false,0.224,HK.67968
HK.09988,243.0,242.8,243.4,242.6,387500,94157560.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.053,HK.50484
HK.00939,5.91,5.91,5.92,5.91,963000,5691440.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.066,HK.69657
HK.01299,93.5,93.45,93.5,93.45,7200,673180.0,93.0,0.004838709677419385,HK.61703,9.53,5718000,BULL,true,0.224,HK.67968
HK.02318,91.05,91.05,91.1,91.05,58000,5281050.0,90.28,0.008529020824102748,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
HK.09988,243.0,242.6,243.4,242.6,389900,94739800.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,390100,94788360.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,391100,95031160.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,391200,95055440.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.00939,5.91,5.91,5.92,5.91,970000,5732810.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.066,HK.69657
HK.00939,5.91,5.91,5.92,5.91,989000,5845100.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.066,HK.69657
HK.09988,243.0,242.8,243.4,242.6,391300,95079720.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,392300,95322520.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,392600,95395360.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,392700,95419640.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,413500,100469880.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.02318,91.05,91.1,91.1,91.05,60000,5463250.0,90.28,0.008529020824102748,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
HK.09988,243.0,243.0,243.4,242.6,413600,100494180.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.09988,243.0,242.8,243.4,242.6,413900,100567020.0,241.19,0.005846013516314925,HK.51584,63.42,50736000,BULL,false,0.054,HK.50484
HK.02318,91.05,91.05,91.1,91.05,60500,5508775.0,90.28,0.008529020824102748,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
