stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.02628,16.08,16.08,16.08,16.06,91000,1462440.0,16.0,0.00374999999999992,HK.54266,18.6,27900000,BULL,true,0.355,HK.14104
HK.09988,255.4,255.4,255.4,255.4,1700,434180.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.82,4.82,4.82,3000,14460.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.01398,4.82,4.82,4.82,4.82,541000,2607620.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.09988,255.4,255.6,255.6,255.4,1900,485300.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.83,4.83,4.82,551000,2655920.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.01398,4.82,4.82,4.83,4.82,593000,2858360.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.09988,255.4,255.4,255.6,255.4,2000,510840.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.83,4.83,4.82,602000,2901830.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.09988,255.4,255.4,255.6,255.4,14100,3601180.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.82,4.83,4.82,605000,2916290.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.01398,4.82,4.82,4.83,4.82,664000,3200670.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.02318,89.85,89.75,89.85,89.75,44500,3996250.0,88.88,0.00978847884788484,HK.67210,40.51,32408000,BULL,true,0.076,HK.64512
HK.01398,4.82,4.82,4.83,4.82,665000,3205490.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.09988,255.4,255.4,255.6,255.4,22400,5721000.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.02318,89.85,89.7,89.85,89.7,47000,4220500.0,88.88,0.00922592259225931,HK.67210,40.51,32408000,BULL,true,0.076,HK.64512
HK.09988,255.4,255.4,255.6,255.4,22900,5848700.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.4,255.6,255.4,23000,5874240.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.82,4.83,4.82,666000,3210310.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.07,HK.64203
HK.02318,89.85,89.7,89.85,89.7,47500,4265350.0,88.88,0.00922592259225931,HK.67210,40.51,32408000,BULL,true,0.076,HK.64512
HK.09988,255.4,255.4,255.6,255.4,23100,5899780.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.82,4.83,4.82,1723000,8305060.0,4.78,0.00836820083682009,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.01398,4.82,4.81,4.83,4.81,1934000,9319970.0,4.78,0.006276150627614929,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.01398,4.82,4.81,4.83,4.81,1935000,9324780.0,4.78,0.006276150627614929,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.09988,255.4,255.4,255.6,255.4,23400,5976400.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.4,255.6,255.4,23500,6001940.0,253.88,0.005987080510477432,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.2,255.6,255.2,69100,17639060.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.01398,4.82,4.81,4.83,4.81,2007000,9671650.0,4.78,0.006276150627614929,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.01398,4.82,4.82,4.83,4.81,2050000,9878910.0,4.78,0.006276150627614929,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.09988,255.4,255.4,255.6,255.2,69300,17690140.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.4,255.6,255.2,69400,17715680.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.4,255.6,255.2,69500,17741220.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.02318,89.85,89.65,89.85,89.65,49500,4444650.0,88.88,0.008663366336633779,HK.67210,40.51,32408000,BULL,true,0.076,HK.64512
HK.02318,89.85,89.65,89.85,89.65,50000,4489475.0,88.88,0.008663366336633779,HK.67210,40.51,32408000,BULL,true,0.077,HK.64512
HK.02318,89.85,89.6,89.85,89.6,50500,4534275.0,88.88,0.008100810081008089,HK.67210,40.51,32408000,BULL,true,0.077,HK.64512
HK.09988,255.4,255.4,255.6,255.2,70500,17996620.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.02318,89.85,89.6,89.85,89.6,53500,4803075.0,88.88,0.008100810081008089,HK.67210,40.51,32408000,BULL,true,0.078,HK.64512
HK.01398,4.82,4.81,4.83,4.81,2052000,9888530.0,4.78,0.006276150627614929,HK.65351,16.7,10020000,BULL,true,0.071,HK.64203
HK.09988,255.4,255.4,255.6,255.2,71300,18200940.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.2,255.6,255.2,71500,18251980.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.2,255.6,255.2,73100,18660300.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.09988,255.4,255.4,255.6,255.2,73400,18736920.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
HK.02318,89.85,89.6,89.85,89.6,54000,4847875.0,88.88,0.008100810081008089,HK.67210,40.51,32408000,BULL,true,0.078,HK.64512
HK.09988,255.4,255.2,255.6,255.2,73800,18839000.0,253.88,0.00519930675909876,HK.58152,10.21,12252000,BULL,true,0.095,HK.13238
