stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.02628,16.62,16.6,16.62,16.6,52000,863420.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.232,HK.28843
HK.00939,5.93,5.94,5.94,5.93,138000,819310.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,246.8,246.8,247.0,246.8,108100,26693820.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.00939,5.93,5.94,5.94,5.93,150000,890590.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,246.8,246.8,247.0,246.8,109100,26940620.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,109500,27039340.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,112500,27780340.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,0,0.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.232,HK.28843
HK.09988,247.0,247.0,247.0,247.0,0,0.0,245.0,0.00816326530612245,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,246.8,246.8,2900,715720.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,3200,789820.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,3300,814520.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,3600,888560.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,3900,962600.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,4000,987280.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,4600,1135360.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,4700,1160060.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,10000,166000.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.232,HK.28843
HK.09988,246.8,247.0,247.0,246.8,5300,1308260.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,16000,265600.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,247.0,247.0,246.8,5500,1357660.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,5800,1431700.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,6200,1530500.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,27000,448200.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.02628,16.6,16.6,16.6,16.6,28000,464800.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,246.8,247.0,246.8,6500,1604540.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,30000,498000.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,247.0,247.0,246.8,6800,1678640.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,7100,1752680.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,7200,1777380.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,7300,1802080.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,7800,1925580.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,8100,1999620.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,32000,531200.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,246.8,247.0,246.8,8400,2073660.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.6,16.6,33000,547800.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,247.0,247.0,246.8,8600,2123060.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,8900,2197100.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.00939,5.94,5.93,5.94,5.93,47000,278910.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.6,16.62,16.62,16.6,34000,564420.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.02628,16.6,16.6,16.62,16.6,37000,614220.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.00939,5.94,5.94,5.94,5.93,58000,344250.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.09988,246.8,246.8,247.0,246.8,9200,2271140.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,9500,2345180.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,9700,2394580.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,10000,2468620.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.00939,5.94,5.94,5.94,5.93,61000,362070.0,5.88,0.008503401360544187,HK.51129,10.48,8384000,BULL,false,0.062,HK.69657
HK.02628,16.6,16.62,16.62,16.6,38000,630840.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,246.8,247.0,246.8,10300,2542660.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,246.8,247.0,246.8,10600,2616700.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.09988,246.8,247.0,247.0,246.8,11100,2740200.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.6,16.62,16.6,39000,647440.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.09988,246.8,247.0,247.0,246.8,11200,2764900.0,245.0,0.0073469387755102505,HK.57932,8.96,17920000,BULL,false,0.046,HK.50484
HK.02628,16.6,16.62,16.62,16.6,44000,730540.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
HK.02628,16.6,16.6,16.62,16.6,45000,747140.0,16.5,0.0060606060606061465,HK.65718,37.409,29927999,BULL,false,0.231,HK.28843
