stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.00388,497.0,496.6,497.0,496.6,14100,7006220.0,491.88,0.009595836382857664,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.02318,91.15,91.05,91.15,91.0,157000,14307075.0,90.28,0.007975188303057143,HK.50248,30.58,24464000,BULL,false,0.159,HK.68594
HK.00939,5.91,5.92,5.92,5.91,98000,579770.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.01918,29.2,29.2,29.2,29.2,0,0.0,29.0,0.006896551724137907,HK.69416,12.08,7248000,BULL,false,0.104,HK.61273
HK.01299,93.65,93.65,93.65,93.65,1800,168570.0,93.0,0.006989247311828018,HK.61703,9.53,5718000,BULL,false,0.222,HK.67968
HK.09988,244.2,244.2,244.2,244.0,19100,4663940.0,242.88,0.004611330698287239,HK.65066,29.7,17820000,BULL,true,0.051,HK.50484
HK.09618,345.4,345.0,345.4,344.8,65450,22579380.0,342.8,0.005834305717619603,HK.50986,11.19,5595000,BULL,false,0.111,HK.56054
HK.09618,345.4,345.0,345.4,344.8,66450,22924380.0,342.8,0.005834305717619603,HK.50986,11.19,5595000,BULL,false,0.111,HK.56054
HK.00388,497.0,496.6,497.0,496.6,14400,7155200.0,491.88,0.009595836382857664,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.00388,497.0,496.6,497.0,496.6,15200,7552480.0,491.88,0.009595836382857664,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.00388,497.0,496.6,497.0,496.6,15800,7850440.0,491.88,0.009595836382857664,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.02318,91.15,91.05,91.15,91.0,158000,14398125.0,90.28,0.007975188303057143,HK.50248,30.58,24464000,BULL,false,0.159,HK.68594
HK.00939,5.91,5.92,5.92,5.91,102000,603450.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.00939,5.91,5.91,5.92,5.91,103000,609360.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.01918,29.2,29.2,29.2,29.2,1000,29200.0,29.0,0.006896551724137907,HK.69416,12.08,7248000,BULL,false,0.104,HK.61273
HK.00388,497.0,496.4,497.0,496.4,16800,8346880.0,491.88,0.009189233146295807,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.00939,5.91,5.92,5.92,5.91,115000,680400.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.02318,91.15,91.05,91.15,91.0,159500,14534700.0,90.28,0.007975188303057143,HK.50248,30.58,24464000,BULL,false,0.159,HK.68594
HK.01918,29.2,29.2,29.2,29.2,2000,58400.0,29.0,0.006896551724137907,HK.69416,12.08,7248000,BULL,false,0.104,HK.61273
HK.09618,345.4,345.0,345.4,344.8,69450,23959380.0,342.8,0.005834305717619603,HK.50986,11.19,5595000,BULL,false,0.111,HK.56054
HK.00388,497.0,496.2,497.0,496.2,17700,8793460.0,491.88,0.008782629909734068,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.09618,345.4,345.0,345.4,344.8,69500,23976630.0,342.8,0.005834305717619603,HK.50986,11.19,5595000,BULL,false,0.111,HK.56054
HK.00388,497.0,496.0,497.0,496.0,17800,8843060.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.00939,5.91,5.92,5.92,5.91,116000,686320.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.00388,497.0,496.0,497.0,496.0,18500,9190260.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.00388,497.0,496.2,497.0,496.0,18600,9239880.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.00939,5.91,5.92,5.92,5.91,127000,751440.0,5.88,0.005102040816326573,HK.51129,10.48,8384000,BULL,false,0.072,HK.64187
HK.02318,91.15,91.05,91.15,91.0,160000,14580225.0,90.28,0.007975188303057143,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
HK.02318,91.15,91.05,91.15,91.0,161500,14716800.0,90.28,0.007975188303057143,HK.50248,30.58,24464000,BULL,false,0.16,HK.68594
HK.00388,497.0,496.2,497.0,496.0,19300,9587220.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.00388,497.0,496.2,497.0,496.0,19400,9636840.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.117,HK.52205
HK.00388,497.0,496.2,497.0,496.0,20900,10381140.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
HK.00388,497.0,496.4,497.0,496.0,24800,12316740.0,491.88,0.008376026673172329,HK.50177,14.59,14590000,BULL,false,0.116,HK.52205
