stock,open,close,high,low,volume,turnover,recover_price,recover_price_radio,recover_stock,street_rate,street_vol,type,isbuy,buyprice,buysocket
HK.02318,95.1,94.95,95.1,94.65,184500,17504225.0,94.28,0.003924480271531656,HK.68073,23.6,18880000,BULL,true,0.112,HK.55801
HK.01810,29.05,29.2,29.3,29.05,996000,29035280.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.09988,253.2,252.8,253.2,252.0,286800,72432380.0,250.0,0.008,HK.59361,16.73,33460000,BULL,false,0.123,HK.69550
HK.09618,349.4,349.6,350.0,348.0,68050,23765320.0,345.0,0.008695652173913044,HK.57132,18.309,36619999,BULL,false,0.093,HK.65991
HK.09618,349.4,349.0,350.0,348.0,68350,23870020.0,345.0,0.008695652173913044,HK.57132,18.309,36619999,BULL,false,0.093,HK.65991
HK.09988,253.2,252.8,253.2,252.0,289300,73064120.0,250.0,0.008,HK.59361,16.73,33460000,BULL,false,0.123,HK.69550
HK.00700,694.0,693.0,697.0,689.0,651300,450818250.0,685.88,0.004548900682335109,HK.62048,9.05,9050000,BULL,true,0.49,HK.24074
HK.01810,29.05,29.25,29.3,29.05,1007200,29362880.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.01810,29.05,29.25,29.3,29.05,1007400,29368730.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.01810,29.05,29.2,29.3,29.05,1015400,29602660.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.09618,349.4,349.6,350.0,348.0,68850,24044820.0,345.0,0.008695652173913044,HK.57132,18.309,36619999,BULL,false,0.093,HK.65991
HK.00388,497.0,495.6,497.0,494.2,184000,91129020.0,491.88,0.004716597544116437,HK.50177,16.05,16050000,BULL,true,0.141,HK.68347
HK.01810,29.05,29.3,29.3,29.05,1023200,29831160.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.09988,253.2,253.0,253.2,252.0,289400,73089420.0,250.0,0.008,HK.59361,16.73,33460000,BULL,false,0.123,HK.69550
HK.01810,29.05,29.2,29.3,29.05,1026000,29912940.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.09618,349.4,349.0,350.0,348.0,70050,24464220.0,345.0,0.008695652173913044,HK.57132,18.309,36619999,BULL,false,0.093,HK.65991
HK.09988,253.2,252.8,253.2,252.0,295500,74631500.0,250.0,0.008,HK.59361,16.73,33460000,BULL,false,0.123,HK.69550
HK.01810,29.05,29.2,29.3,29.05,1026800,29936300.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
HK.09988,253.2,252.6,253.2,252.0,296100,74783060.0,250.0,0.008,HK.59361,16.73,33460000,BULL,false,0.123,HK.69550
HK.01810,29.05,29.3,29.3,29.05,1028800,29994810.0,28.88,0.005886426592797843,HK.55667,11.68,4672000,BULL,false,0.089,HK.53330
